,original_text,cleaned_text,lang,translation
69,"Incendies en Gironde : zoo, hippodrome... les animaux aussi sont évacués https://t.co/O4EFooaxfZ","Incendies en Gironde : zoo, hippodrome... les animaux aussi sont évacués ",fr,"Gironde fires: zoo, racetrack ... animals are also evacuated"
72,"🤑Découvrez comment trouver une idée de formation rentable et la créer en 30 jours ! Formation gratuite !
Cliquez sur le lien pour savoir comment gagner de l'argent !
https://t.co/klhiqs6jvM

#citation #argent #investissement

Crédit compte Instagram : millionnaire_secrets https://t.co/lwzqmIM6Mv","🤑Découvrez comment trouver une idée de formation rentable et la créer en 30 jours ! Formation gratuite !
Cliquez sur le lien pour savoir comment gagner de l'argent !


  

Crédit compte Instagram : millionnaire_secrets ",fr,"🤑 Discover how to find a profitable training idea and create it in 30 days! Free training!
Click on the link to find out how to earn money!


  

Instagram account credit: millionaire_secrets"
118,#RDC: Agression rwandaise dans l’Est du pays « Le peuple congolais aurait mieux fait de faire des marches plutôt contre Félix Tshisekedi » dit JM Kabund,: Agression rwandaise dans l’Est du pays « Le peuple congolais aurait mieux fait de faire des marches plutôt contre Félix Tshisekedi » dit JM Kabund,fr,": Rwandan aggression in the east of the country ""The Congolese people would have done better to do marches rather against Félix Tshisekedi"" says JM Kabund"
124,"Analyse d'une ressortie du Sporting 🇵🇹  R. Amorim⚽️

- Création du jeu à partir du GB 1-4+2
- 2 largeur (LAT puis PISTON) pour étirer le bloc adverse 
- Création d'espace à l'INT + RDF positif
- Création de triangle / Losange avec pointe haute qui décroche

❤️&amp; retour apprécies https://t.co/FCJmLAOZdb","Analyse d'une ressortie du Sporting 🇵🇹  R. Amorim⚽️

- Création du jeu à partir du GB 1-4+2
- 2 largeur (LAT puis PISTON) pour étirer le bloc adverse 
- Création d'espace à l'INT + RDF positif
- Création de triangle / Losange avec pointe haute qui décroche

❤️&amp; retour apprécies ",fr,"Analysis of a Sporting Settlement 🇵🇹 R. Amorim⚽️

- Creation of the game from GB 1-4+2
- 2 width (LAT then piston) to stretch the opposing block
- Creation of space at the int + positive RDF
- Creation of triangle / diamond with high tip that wins

❤️ & amp; Return appreciated"
133,"Montauban : cet attentat dont personne ne veut vous parler.

#Montauban #EmmanuelCueff #munichois #badinter #peinedemort #partisocialiste #macron #Hidalgo #soumission #invasion #immigration https://t.co/2w3uf3s0Yh","Montauban : cet attentat dont personne ne veut vous parler.

           ",fr,"Montauban: This attack that no one wants to tell you about.

           "
141,@TheoEnglebert_ @TheoEnglebert @RWALINDAP Merci de confirmer que vous n'êtes pas sérieux. Mais cela on le savait depuis longtemps.,Merci de confirmer que vous n'êtes pas sérieux. Mais cela on le savait depuis longtemps.,fr,Please confirm that you are not serious. But it has been known for a long time.
153,Mali : la présence de la Minusma de nouveau en question https://t.co/C3MZLQIa39 #EyeonMali #Mali #DW,Mali : la présence de la Minusma de nouveau en question,fr,Mali: the presence of Minusma again in question
154,"Quand des éléments militaires de la #RDF @RwandaMoD creusent des tranchées de défense en terre RDC, ils ne savent pas qu'ils sont vus du ciel. Ainsi, le régime rwandais peut continuer à nier éhonteusement sa présence et son soutien au #M23.
Le @rpfinkotanyi n'a qu'à bien se tenir https://t.co/CU6iN3JaBb","Quand des éléments militaires de la   creusent des tranchées de défense en terre RDC, ils ne savent pas qu'ils sont vus du ciel. Ainsi, le régime rwandais peut continuer à nier éhonteusement sa présence et son soutien au .
Le  n'a qu'à bien se tenir ",fr,"When military elements of the DRC earth defense trenches, they do not know that they are seen from heaven. Thus, the Rwandan regime can continue to shame its presence and its support for the.
It only has to go well"
158,Uganda 🇺🇬  yibikiye ibikoresho bucece 😎😎 https://t.co/VVgYeJ91g2,Uganda 🇺🇬  yibikiye ibikoresho bucece 😎😎,kiny,UGANDA 🇺🇬 WHAT HAS A SURE OFFICE 😎😎
165,"@Poulin2012 C'est pour proteger
la Republique Antifasciste
de la #RDF 🇫🇷
😊

Berlin
""1961-1986
 25 ans du mur de protection antifasciste"" https://t.co/jFaP9Ts5wh","C'est pour proteger
la Republique Antifasciste
de la  🇫🇷
😊

Berlin
""1961-1986
 25 ans du mur de protection antifasciste"" ",fr,"It is to protect
The anti -fascist republic
from 🇫🇷
😊

Berlin
""1961-1986
 25 years of the anti -fascist protective wall """
