created_at,source,original_text,cleaned_text,polarity,subjectivity,sentiment,lang,likes_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,retweet_hashtags,user_mentions,place,place_coord_boundaries
2022-07-18T15:35:01.000Z,Twitter for Android,"#PrimerasPáginas📰

Ya saben que para Andy todas las instituciones que señalan que la está regando sólo se dedican a hacerle ""compló"", pero los argumentos que presentan no dejan mucho margen a la duda.

La está regando y gacho.

#RDF🐅 https://t.co/qvCERmOPXV","áginas📰

Ya saben que para Andy todas las instituciones que señalan que la está regando sólo se dedican a hacerle ""compló"", pero los argumentos que presentan no dejan mucho margen a la duda.

La está regando y gacho.

🐅 ",0.0,0.0,Neutral,es,0,11,Imiguel78,1821,4999,False,PrimerasPáginas,,RepDeFiFidonia,León Gto.,
2022-07-18T15:34:48.000Z,Twitter for Android,"Sigue enfermito con Calderón.

Si lo que querían era oír mil veces lo mismo, hubieran votado por un loro, Chairos. 🤔

#RDF🐅 https://t.co/Zfq8JnS7s4","Sigue enfermito con Calderón.

Si lo que querían era oír mil veces lo mismo, hubieran votado por un loro, Chairos. 🤔

🐅 ",0.0,0.0,Neutral,es,0,32,Imiguel78,1821,4999,False,"M23, DRC",,RepDeFiFidonia,León Gto.,
2022-07-18T15:34:19.000Z,Twitter for Android,"La ola de calor en Europa.

🏴󠁧󠁢󠁥󠁮󠁧󠁿 - Espera Hasta 40.5º, más caliente que en el Sahara y Nueva Delhi, hoy y mañana, con sólo 1% de sus casas con aire acondicionado.

🇮🇹 - La peor sequía en 70 años.

🇪🇸🇵🇹 - Más de mil muertos por golpe de calor.

😱, y acá queremos 2👄, chale.

#RDF🐅 https://t.co/r3NaD4ACkD","La ola de calor en Europa.

🏴󠁧󠁢󠁥󠁮󠁧󠁿 - Espera Hasta 40.5º, más caliente que en el Sahara y Nueva Delhi, hoy y mañana, con sólo 1% de sus casas con aire acondicionado.

🇮🇹 - La peor sequía en 70 años.

🇪🇸🇵🇹 - Más de mil muertos por golpe de calor.

😱, y acá queremos 2👄, chale.

🐅 ",0.0,0.0,Neutral,es,0,4,HectorJTrevinoT,5244,5683,False,ElPayasoLastimita,,RepDeFiFidonia,"Apodaca, Nuevo León",
2022-07-18T15:34:04.000Z,dlvr.it,"🔴 AB Azerbaycan'dan gaz ithalatını ikiye katlıyor: AB Komisyonu Başkanı, Azerbaycan'dan satın alınan doğal gaz miktarını iki katına çıkarmak üzere anlaşmaya varıldığını açıkladı. AB geçen yıl Azerbaycan'dan 8 milyar metreküplük gaz almıştı. https://t.co/FgX4uZo4MP","🔴 AB Azerbaycan'dan gaz ithalatını ikiye katlıyor: AB Komisyonu Başkanı, Azerbaycan'dan satın alınan doğal gaz miktarını iki katına çıkarmak üzere anlaşmaya varıldığını açıkladı. AB geçen yıl Azerbaycan'dan 8 milyar metreküplük gaz almıştı. ",0.0,0.0,Neutral,tr,0,2,TR__Via,6190,15,False,RDF,,A_Haber_,Algérie,
2022-07-18T15:34:04.000Z,dlvr.it,"🔴 AB Azerbaycan'dan gaz ithalatını ikiye katlıyor: AB Komisyonu Başkanı, Azerbaycan'dan satın alınan doğal gaz miktarını iki katına çıkarmak üzere anlaşmaya varıldığını açıkladı. AB geçen yıl Azerbaycan'dan 8 milyar metreküplük gaz almıştı. https://t.co/FgX4uZo4MP","🔴 AB Azerbaycan'dan gaz ithalatını ikiye katlıyor: AB Komisyonu Başkanı, Azerbaycan'dan satın alınan doğal gaz miktarını iki katına çıkarmak üzere anlaşmaya varıldığını açıkladı. AB geçen yıl Azerbaycan'dan 8 milyar metreküplük gaz almıştı. ",0.0,0.0,Neutral,tr,0,2,Tr__News,6953,79,False,123INFO,,A_Haber_,Brussels,
2022-07-18T15:33:50.000Z,IFTTT,المغرب: تواصل المجهودات لمكافحة حرائق غابات الشمال https://t.co/mg15eA9w8Mالمغرب-تواصل-المجهودات-لمكافحة-حرائق-غابات-الشمال/a-62507642?maca=ara-rss-ar-sci-1041-rdf,المغرب: تواصل المجهودات لمكافحة حرائق غابات الشمال ,0.0,0.0,Neutral,ar,0,0,GhfouadFouad,14,112,False,PrimerasPáginas,,bdc_tti,Chilandrolandia City Mex,
2022-07-18T15:33:33.000Z,dlvr.it,"🔴 AB Azerbaycan'dan gaz ithalatını ikiye katlıyor: AB Komisyonu Başkanı, Azerbaycan'dan satın alınan doğal gaz miktarını iki katına çıkarmak üzere anlaşmaya varıldığını açıkladı. AB geçen yıl Azerbaycan'dan 8 milyar metreküplük gaz almıştı. https://t.co/FgX4uZo4MP","🔴 AB Azerbaycan'dan gaz ithalatını ikiye katlıyor: AB Komisyonu Başkanı, Azerbaycan'dan satın alınan doğal gaz miktarını iki katına çıkarmak üzere anlaşmaya varıldığını açıkladı. AB geçen yıl Azerbaycan'dan 8 milyar metreküplük gaz almıştı. ",0.0,0.0,Neutral,tr,0,2,A_Haber_,7229,16,False,"KnowledgeGraphs, abdsc, Semantic, AI, BigData",,TheoMpoze,Groland,
2022-07-18T15:27:40.000Z,Twitter for Android,"Esposa e família do Jonathan Calleri com o boné do Che. 🇾🇪🇨🇺

Quem quiser adquirir um igual é só mandar Direct para: @rdf_store.ofc https://t.co/NScZQ6tsQP","Esposa e família do Jonathan Calleri com o boné do Che. 🇾🇪🇨🇺

Quem quiser adquirir um igual é só mandar Direct para: .ofc ",0.1,0.4,Positive,pt,0,14,luganodochimas,1866,2704,False,"M23, DRC",,RepDeFiFidonia,Valhalla,
2022-07-18T15:25:28.000Z,Twitter for Android,"‘It shouldn’t be happening again’: #M23 rebels return to wreak havoc in #DRC.
Ten years ago, M23 rebels forced thousands from their homes in North #Kivu until they were defeated. But now they are back.
It's just #RDF of #Kagame which is back.
@MONUSCO @RFI https://t.co/iJkDVoCqtA","‘It shouldn’t be happening again’:  rebels return to wreak havoc in .
Ten years ago, M23 rebels forced thousands from their homes in North  until they were defeated. But now they are back.
It's just  of  which is back.
  ",-0.07500000000000001,0.05,Negative,en,0,9,Nduwamungu5,1579,418,False,PrimerasPáginas,,EUwatchers,Valhalla,
2022-07-18T15:21:48.000Z,EUwatch,European heat wave: Britain announces national heat emergency https://t.co/wR8oRUk4IB - source/editor :,European heat wave: Britain announces national heat emergency  - source/editor :,0.0,0.0,Neutral,en,0,0,EUwatchers,25730,7621,False,Dictator,,RepDeFiFidonia,República de FiFidonia,
