,created_at,source,original_text,cleaned_text,polarity,subjectivity,sentiment,lang,likes_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,retweet_hashtags,user_mentions,place,place_coord_boundaries
8,2022-07-18 15:25:28+00:00,Twitter for Android,"‘It shouldn’t be happening again’: #M23 rebels return to wreak havoc in #DRC.
Ten years ago, M23 rebels forced thousands from their homes in North #Kivu until they were defeated. But now they are back.
It's just #RDF of #Kagame which is back.
@MONUSCO @RFI https://t.co/iJkDVoCqtA","‘It shouldn’t be happening again’:  rebels return to wreak havoc in .
Ten years ago, M23 rebels forced thousands from their homes in North  until they were defeated. But now they are back.
It's just  of  which is back.
  ",-0.07500000000000001,0.05,Negative,en,0,9,Nduwamungu5,1579,418,False,PrimerasPáginas,,EUwatchers,Valhalla,
9,2022-07-18 15:21:48+00:00,EUwatch,European heat wave: Britain announces national heat emergency https://t.co/wR8oRUk4IB - source/editor :,European heat wave: Britain announces national heat emergency  - source/editor :,0.0,0.0,Neutral,en,0,0,EUwatchers,25730,7621,False,Dictator,,RepDeFiFidonia,República de fifidonia,
17,2022-07-18 15:14:41+00:00,Microsoft Power Platform,"Why are weather forecasts not always accurate?
#123INFO
https://t.co/ch1lvYyBWE","Why are weather forecasts not always accurate?

",0.4000000000000001,0.6333333333333334,Positive,en,0,0,123_INFO_DE,118,12,False,PrimerasPáginas,,TheoMpoze,Mongwalu isiro aruwara ,
18,2022-07-18 15:10:04+00:00,Twitter for iPhone,"Tried to draw Rovina Desamero of Dosage of Serotonin, Calix's RDF and shortcake 🍰

@inksteadywp https://t.co/SmRBUBXjCA","Tried to draw Rovina Desamero of Dosage of Serotonin, Calix's RDF and shortcake 🍰

 ",0.0,0.0,Neutral,en,0,152,AriaSoondingie,621,1559,False,PrimerasPáginas,,ILCAsia,"Cape town, south africa",
19,2022-07-18 15:08:55+00:00,Twitter Web App,Spain: Picasso sketch seized by customs officials in Ibiza https://t.co/PjWdLAdC8M - source/editor :,Spain: Picasso sketch seized by customs officials in Ibiza  - source/editor :,0.0,0.0,Neutral,en,0,1,arson_cole,235,1699,False,PrimerasPáginas,,RepDeFiFidonia,"Seattle, wa",
21,2022-07-18 15:06:36+00:00,Twitter,"What Personal #KnowledgeGraphs Have to Do with Business: https://t.co/5OKmSHmWIv
—————
#abdsc #Semantic #AI #BigData #DataScience #MachineLearning #LinkedData #Ontology #GraphDB #RDF #GraphAnalytics #NetworkScience #Pandemic #Context #Web30 #DataManagement https://t.co/xAhZe7Mk8c","What Personal  Have to Do with Business: 
—————
                ",0.0,0.3,Neutral,en,0,7,_Jakashi,548,1,False,"M23, DRC",,VP,Valhalla,
25,2022-07-18 15:00:54+00:00,Twitter Web App,"📣Opportunities alert❗️❗️ 

Call for Applications: Facilitator of ILC Asia Regional Initiative on Locally-Managed Ecosystems.

Learn more ⬇️ @RDF_Kyrgyzstan 
https://t.co/OuwrXcNmuE","📣Opportunities alert❗️❗️ 

Call for Applications: Facilitator of ILC Asia Regional Initiative on Locally-Managed Ecosystems.

Learn more ⬇️  
",0.5,0.5,Positive,en,0,3,rukshanasn,427,107,False,"M23, DRC",,RepDeFiFidonia,"Rome, italy",
28,2022-07-18 14:54:30+00:00,Twitter for Android,"Our fight for reproductive rights is not only on the national level, but on the state and local. I’m in New Jersey to meet with state legislators who have passed laws to protect the right to reproductive health care and the right of health care providers to provide services.","Our fight for reproductive rights is not only on the national level, but on the state and local. I’m in New Jersey to meet with state legislators who have passed laws to protect the right to reproductive health care and the right of health care providers to provide services.",0.14155844155844155,0.5051948051948052,Positive,en,1,0,BlaazMASTAKI,138,416,False,RDF,,RepDeFiFidonia,Mexico,
29,2022-07-18 14:51:28+00:00,Twitter for Android,"‘It shouldn’t be happening again’: M23 rebels return to wreak havoc in DRC. 

Ten years ago, #Dictator @PaulKagame's M23 rebels forced thousands from their homes in North Kivu until they were defeated. Now, Dictator Paul Kagame’s RDF/M23 are back. 
https://t.co/5uBhMxFZzr","‘It shouldn’t be happening again’: M23 rebels return to wreak havoc in DRC. 

Ten years ago,  's M23 rebels forced thousands from their homes in North Kivu until they were defeated. Now, Dictator Paul Kagame’s RDF/M23 are back. 
",-0.10000000000000002,0.06666666666666668,Negative,en,0,1,johnclaudio17,92,404,False,"citation, argent, investissement",,PaulKagame,"Apodaca, nuevo león",
31,2022-07-18 14:51:00+00:00,TweetDeck,"We are happy and curious about this first race and first win by our new S grade RDF filly @photofinishgame, beating a bunch of solid LDS opponents in this G3 LDF race.

https://t.co/5N9Kw1q3Pt","We are happy and curious about this first race and first win by our new S grade RDF filly , beating a bunch of solid LDS opponents in this G3 LDF race.

",0.3051948051948052,0.5173160173160174,Positive,en,1,0,BigBrainStables,915,20,False,DW,,ILCAsia,Mexico,
